idbajaspor,idbajas,IdAlmacen,Fecha,idproducto,Cantidad,Pcosto,Pventa
1,4,2,"11/01/22 00:00:00",61,180,28,150
2,1,2,"11/01/22 00:00:00",16,51,160,200
3,1,2,"11/01/22 00:00:00",4,119,15,25
4,1,2,"11/03/22 00:00:00",24,5,28,180
5,1,2,"11/09/22 00:00:00",13,4,145,210
6,2,2,"11/10/22 00:00:00",5,1,100,150
7,2,2,"11/10/22 00:00:00",21,1,70,100
8,2,2,"11/10/22 00:00:00",19,1,160,210
9,2,2,"11/10/22 00:00:00",16,1,160,200
10,2,2,"11/11/22 00:00:00",17,1,325,500
11,2,2,"11/11/22 00:00:00",14,1,210,300
12,2,2,"11/12/22 00:00:00",67,1,350,700
13,2,2,"11/16/22 00:00:00",12,1,320,420
14,2,2,"11/16/22 00:00:00",14,6,210,300
15,2,2,"11/16/22 00:00:00",16,7,160,200
16,7,2,"11/16/22 00:00:00",67,3,350,700
17,7,2,"11/16/22 00:00:00",67,24,350,700
18,7,2,"11/16/22 00:00:00",20,13,1500,2000
19,2,2,"11/17/22 00:00:00",71,66,350,350
20,2,2,"11/17/22 00:00:00",65,1,28,150
21,2,2,"11/17/22 00:00:00",68,1,52,250
22,2,2,"11/17/22 00:00:00",72,1,200,250
23,2,2,"11/18/22 00:00:00",14,1,210,300
24,2,2,"11/18/22 00:00:00",15,1,200,325
25,2,2,"11/18/22 00:00:00",72,1,200,250
26,2,2,"11/19/22 00:00:00",70,89,350,350
27,2,2,"11/19/22 00:00:00",15,92,200,325
28,2,2,"11/19/22 00:00:00",15,92,200,325
29,2,1,"11/19/22 00:00:00",70,768,350,350
30,2,1,"11/19/22 00:00:00",71,48,300,300
31,2,2,"11/19/22 00:00:00",1,1,320,420
32,2,2,"11/19/22 00:00:00",16,2,160,200
33,2,2,"11/19/22 00:00:00",6,2,40,75
34,2,2,"11/19/22 00:00:00",19,1,160,210
35,2,1,"11/19/22 00:00:00",20,1,1500,2000
36,2,2,"11/20/22 00:00:00",4,2,15,25
37,2,2,"11/20/22 00:00:00",14,7,210,300
38,2,2,"11/20/22 00:00:00",15,2,200,300
39,2,2,"11/20/22 00:00:00",19,1,160,210
40,2,2,"11/20/22 00:00:00",3,2,45,80
41,2,2,"11/20/22 00:00:00",16,2,160,200
42,2,2,"11/20/22 00:00:00",21,1,70,100
43,2,2,"11/20/22 00:00:00",15,4,200,300
44,2,2,"11/20/22 00:00:00",71,6,300,300
45,2,2,"11/22/22 00:00:00",20,5,1500,2000
46,2,2,"11/22/22 00:00:00",19,2,160,210
47,2,2,"11/22/22 00:00:00",17,2,325,500
