IdExistencia,idalmacen,IdProducto,Saldo
1,1,1,49
2,1,2,4
3,1,3,0
4,1,4,23
5,1,5,0
6,2,4,0
7,1,7,0
8,2,8,100
9,1,9,0
10,1,12,59
11,1,10,22
12,1,11,0
13,2,13,0
14,1,13,0
15,1,14,0
16,1,16,1
17,1,17,0
18,1,8,0
19,1,18,0
20,1,19,0
21,1,21,0
22,1,26,0
23,1,27,0
24,1,28,0
25,1,32,0
26,1,34,4
27,1,36,0
28,1,37,0
29,1,38,0
30,1,40,0
31,1,41,0
32,1,42,0
33,1,43,0
34,1,44,0
35,1,45,0
36,1,47,0
37,1,48,53
38,1,20,0
39,2,50,0
40,1,50,0
41,1,51,0
42,2,56,15
43,1,56,0
44,1,57,0
45,1,58,0
46,1,59,0
47,1,53,98
48,1,54,80
49,1,55,17
50,1,61,0
51,1,62,0
52,1,52,27
53,1,60,71
54,1,64,10
55,1,65,0
56,1,66,0
57,1,67,15
58,1,69,0
59,1,70,0
60,1,71,0
61,1,72,0
62,1,73,0
63,1,74,0
64,1,76,43
65,1,77,199
66,1,78,0
67,1,80,0
68,1,81,0
69,1,84,0
70,1,82,0
71,1,83,0
72,1,85,0
73,1,86,0
74,1,87,0
75,1,88,0
76,1,89,0
77,1,90,0
78,1,91,0
79,1,93,-1
80,1,94,11
81,1,92,9
82,1,95,7
83,1,99,0
84,1,109,0
85,1,103,0
86,1,114,-1
87,1,113,-1
88,1,102,0
89,1,101,-1
90,1,119,2
91,1,121,0
92,1,104,0
93,1,123,-1
94,1,112,0
95,1,22,0
96,1,111,0
97,1,127,0
98,1,131,10
99,1,115,0
100,1,133,0
101,1,135,0
102,1,107,-1
103,1,97,0
104,1,130,0
105,1,138,0
106,1,116,0
107,1,140,-6
108,1,141,0
109,1,142,-1
110,1,148,0
111,1,149,0
112,1,150,0
113,1,151,0
114,1,147,-1
115,1,153,0
116,1,155,0
117,1,152,0
118,1,139,0
119,1,154,0
120,1,110,0
121,1,158,0
122,1,161,0
123,1,162,0
124,1,164,0
125,1,145,0
126,1,167,-1
127,1,159,0
128,1,157,0
129,1,129,0
130,1,168,0
131,1,163,0
132,1,170,0
133,1,171,0
134,1,125,0
135,1,49,0
136,1,175,0
137,1,178,23
138,1,160,0
139,1,98,-1
140,1,181,0
141,1,146,0
142,1,180,0
143,1,179,0
144,1,176,0
145,1,182,0
146,1,173,0
147,2,111,40
148,1,165,0
149,1,186,0
150,1,183,0
151,1,189,2
152,1,188,0
153,1,187,0
154,1,191,15
155,1,192,0
156,1,193,0
157,1,194,0
158,1,195,0
159,1,196,9
160,1,197,0
161,1,198,0
162,1,199,0
163,1,200,0
164,1,201,6
165,1,202,0
166,1,137,-1
167,1,166,0
168,1,203,7
169,1,204,44
170,1,205,48
171,1,206,27
172,1,207,53
173,1,208,27
174,1,210,-1
175,1,211,0
176,1,212,0
177,1,213,205
178,1,214,59
179,1,217,0
180,1,216,1
181,1,215,0
182,1,218,17
183,1,219,-1
184,1,220,0
185,1,221,0
186,1,222,0
187,1,184,0
188,1,223,27
189,1,224,8
190,1,230,0
191,1,225,118
192,1,232,14
193,1,233,0
194,1,229,6
195,1,234,23
196,1,235,2940
197,1,237,-180
198,1,236,225
