IdRecepcion,IdProducto,Pcosto,Pventa,Cantidad
1,1,190,250,16
2,2,182,300,3
3,3,70,200,11
4,4,183,350,18
5,5,182,300,24
6,4,183,350,4
7,7,145,350,24
8,4,183,350,24
9,8,80,300,100
10,9,80,200,72
11,7,145,350,2
12,4,183,350,4
13,12,135,350,72
14,10,150,250,24
15,11,135,300,48
16,13,135,350,48
17,13,135,350,48
18,14,100,250,50
19,13,135,350,40
20,15,150,250,48
21,16,100,200,36
22,13,135,350,36
23,17,580,900,22
24,8,80,300,20
25,18,170,350,24
26,16,100,200,48
27,19,150,350,24
28,20,200,450,48
29,21,140,350,24
30,1,200,400,48
31,16,100,250,96
32,22,85,250,96
33,23,170,400,24
34,8,80,300,10
35,1,200,400,48
37,25,80,250,48
38,26,200,450,48
39,27,180,450,24
40,8,80,300,50
41,28,170,450,24
42,29,220,450,72
43,30,190,400,24
44,31,190,400,24
45,32,180,400,24
46,16,100,250,48
47,33,250,500,24
48,1,200,450,24
49,16,100,300,24
50,8,80,400,40
51,1,200,450,24
52,16,100,300,36
53,34,280,600,24
54,35,150,350,48
55,36,350,500,24
56,37,350,500,24
57,38,350,500,24
58,40,200,800,10
59,41,200,800,10
60,42,110,350,48
61,42,110,350,72
62,43,250,500,48
63,44,190,500,24
64,46,7000,14000,1
65,8,150,400,50
66,47,3600,9000,1
67,48,200,400,20
68,49,250,500,24
69,50,150,350,105
71,50,150,350,105
72,51,300,650,24
73,56,72.12,1000,15
74,56,72.12,1000,15
75,57,212.4,880,35
76,58,279.08,1000,30
77,59,231.67,920,35
78,53,243.4,880,80
79,54,250,840,80
80,55,320.07,1000,80
81,61,310,1000,216
82,62,310,1000,252
83,63,206,800,40
84,60,272.67,920,80
85,64,92.12,1200,35
86,65,45.15,1000,10
87,1,200,800,48
88,66,290,800,48
89,68,284.125,880,80
90,69,300,640,50
91,36,250,800,50
92,70,250,800,50
92,37,250,800,50
92,38,250,800,50
93,71,240,600,50
93,72,200,400,50
93,73,260,600,25
93,3,150,400,100
94,44,180,400,10
94,8,36.12,800,45
95,14,120,600,45
96,75,400,800,7
97,64,212,1200,15
98,76,20.75,50,100
99,77,41.75,50,100
100,64,212,1200,50
101,78,0,600,20
102,79,150,600,72
103,64,212,1150,20
104,52,208,750,5
105,80,0,600,8
106,81,300,600,6
107,84,459,950,22
107,82,174,700,124
107,83,513,1150,17
108,64,212,1150,15
109,4,252,900,24
110,64,212,1150,15
111,85,243,700,33
112,56,192,900,50
113,78,0,600,30
114,64,212,1150,100
115,8,156,800,50
116,8,156,800,40
117,85,243,700,33
118,78,65,600,30
119,8,156,800,80
120,86,298.2,0,48
120,87,436.35,0,40
121,55,328,1200,10
122,87,491.32,950,40
122,86,349.29,700,48
122,88,225.35,600,84
122,89,511.39,950,30
122,90,415.65,950,24
123,90,415.65,950,24
124,64,212,1150,50
125,56,192,900,50
126,55,328,1200,50
127,91,47.45,180,249
128,78,65,600,30
129,65,164,950,50
130,78,65,600,18
131,64,212,1150,25
132,93,300,600,4
133,94,117,600,10
134,92,300,600,8
135,8,156,750,50
136,95,164,600,5
137,64,212,1150,25
138,64,212,1150,25
139,96,533,600,8
140,97,178,750,48
140,98,190,750,48
141,64,212,1150,25
142,55,328,1200,15
143,95,164,600,10
144,99,285,600,4
145,64,212,1150,50
146,100,150,600,54
147,101,0,600,3
148,102,0,600,4
149,103,0,600,4
150,104,0,1150,50
151,105,0,920,25
152,106,0,1200,25
153,107,15,50,100
154,108,247.5,700,48
155,109,243.08,600,58
156,110,162.2,600,84
157,111,0,850,50
158,112,0,600,8
159,103,0,600,8
160,113,0,750,50
161,114,0,350,20
162,113,0,750,25
163,113,0,750,25
164,102,0,600,12
165,115,0,600,15
166,101,0,600,7
167,113,0,750,50
168,116,0,600,50
169,113,0,750,25
170,113,0,750,25
171,113,0,750,50
172,117,0,1200,50
173,118,0,1150,50
174,119,0,1300,10
175,103,0,600,10
176,120,0,750,10
177,113,0,750,25
178,121,0,500,24
179,113,0,750,25
180,122,0,750,10
181,104,0,1150,50
182,123,256,700,29
183,124,489.6,950,25
184,114,0,350,10
185,119,0,1300,10
186,125,0,500,8
187,113,0,750,50
188,112,0,600,3
189,103,0,600,11
190,126,0,500,120
191,112,0,600,2
192,102,0,600,4
193,102,0,600,8
194,127,0,1150,20
195,128,0,950,10
196,111,0,850,10
197,129,0,600,4
198,119,0,1300,20
199,127,0,1150,20
199,114,0,350,10
200,130,0,600,5
201,113,0,750,50
202,127,0,1150,50
203,1,200,650,48
204,131,0,600,6
205,132,0,750,5
206,115,0,600,13
207,111,0,850,50
208,119,0,1300,10
209,113,0,750,40
210,103,0,600,20
211,119,0,1300,30
212,52,0,1100,20
213,55,0,1500,15
214,127,0,1150,50
215,133,0,200,1
216,136,0,950,30
216,135,0,600,48
217,137,0,50,150
217,138,0,600,7
217,131,0,600,6
217,115,0,600,13
218,139,0,750,24
219,113,0,750,20
220,127,0,1150,30
221,103,0,600,5
222,131,0,600,5
223,130,0,600,4
224,138,0,600,2
224,115,0,600,8
225,113,0,750,30
226,116,0,600,50
227,127,0,1150,50
228,115,0,600,5
228,55,0,1500,10
229,140,0,750,24
229,141,0,700,6
229,143,0,650,8
229,142,0,500,24
230,144,0,700,4
231,119,0,1300,10
232,113,0,750,40
233,145,0,600,8
234,131,0,600,4
235,138,0,600,7
236,146,250,700,72
237,113,0,750,50
238,55,0,1500,20
239,111,0,850,20
240,147,0,1150,30
241,64,212,1150,30
242,148,0,180,3
243,113,0,750,50
244,119,0,1300,10
245,131,0,600,6
246,115,0,600,11
247,111,0,850,25
248,112,0,600,8
249,148,0,180,6
250,52,0,1100,1
251,55,0,1500,5
252,113,0,750,50
253,135,0,500,16
253,149,0,500,16
254,148,0,180,50
255,52,0,1100,10
255,113,0,750,40
256,48,0,600,10
256,113,0,750,20
257,150,0,1300,10
258,135,0,500,24
258,149,0,500,24
259,55,0,1500,10
260,151,148,500,52
261,111,0,850,20
262,55,0,1500,10
263,113,0,750,20
264,147,0,1150,50
265,135,0,500,24
265,149,0,500,24
265,94,117,600,8
266,156,0,750,24
266,153,0,750,24
266,155,0,750,24
266,152,0,900,17
266,139,0,650,15
266,154,0,750,43
267,157,0,600,8
267,131,0,600,6
268,101,0,600,9
269,113,0,750,50
270,55,0,1500,10
271,119,0,1300,10
272,113,0,750,100
273,111,0,850,50
274,131,0,600,6
275,55,0,1500,20
276,159,0,700,168
276,160,0,950,84
276,158,0,750,44
277,113,0,750,50
278,116,0,600,50
279,161,0,500,24
280,163,0,700,116
280,162,0,750,36
281,115,0,600,4
282,147,0,1150,50
283,113,0,750,100
284,164,215,600,24
285,52,0,650,10
286,138,0,600,13
286,145,0,600,10
286,115,0,600,5
286,149,0,500,16
286,135,0,500,16
287,115,0,600,5
288,53,0,1000,10
289,48,0,600,25
290,147,0,1150,50
291,52,0,650,30
292,111,0,850,50
293,111,0,850,50
294,119,0,1300,15
295,55,0,1250,20
295,166,0,600,24
296,167,0,600,12
297,113,0,750,40
297,147,0,1150,20
298,159,0,700,40
299,115,0,600,8
299,138,0,600,1
299,131,0,600,4
299,157,0,600,5
300,129,0,600,6
301,168,0,4080,1
302,53,0,1000,15
303,113,0,750,40
303,147,0,1150,20
304,115,0,600,8
304,138,0,600,4
304,131,0,600,5
304,157,0,600,8
305,64,212,1150,20
306,55,0,1250,20
307,111,0,850,20
308,147,0,1150,30
309,147,0,1150,50
310,169,180,600,34
311,113,0,750,30
312,111,0,850,20
313,157,0,600,50
314,119,0,1300,20
315,116,0,600,40
316,55,0,1250,20
317,113,0,750,40
317,111,0,850,20
318,129,0,600,50
319,52,0,650,50
320,170,0,600,20
321,147,0,1150,50
322,113,0,750,40
322,111,0,850,20
322,116,0,600,20
323,142,0,600,39
324,163,0,700,40
325,53,0,1000,20
326,157,0,600,9
326,170,0,600,16
326,138,0,600,9
327,119,0,1300,25
328,171,0,1500,1
329,171,0,1500,1
330,147,0,1150,50
331,139,0,650,48
332,111,0,850,30
333,55,0,1250,20
334,131,0,600,50
335,48,0,600,50
336,113,0,750,50
337,158,0,750,20
338,172,196.08,600,48
339,147,0,1150,50
339,111,0,850,50
339,113,0,750,50
340,129,0,600,15
341,157,0,600,19
342,131,0,600,7
343,170,0,600,7
344,159,0,700,10
345,173,0,1250,15
346,116,0,600,50
347,163,0,700,20
348,147,0,1150,50
348,159,0,700,50
349,174,180,500,70
350,49,250,750,24
351,163,0,700,20
352,55,0,1250,40
353,175,0,600,7
354,116,0,600,50
355,113,0,750,50
356,157,0,600,8
356,176,0,600,16
356,131,0,600,4
356,101,0,600,9
356,175,0,600,7
357,177,0,650,48
358,178,0,650,24
359,147,0,1150,50
360,158,0,750,10
361,119,0,1300,20
362,111,0,850,20
363,112,0,600,15
364,160,0,950,20
365,179,0,600,20
366,163,0,700,20
367,147,0,1150,50
368,180,0,750,20
369,181,410,600,10
