IdValeSalida,NoConsecutivo,Fecha,Destino,Inventariada,Nota,Exportada,Periodo,DiezPorciento,año
1,1,"04/11/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
2,2,"04/12/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
3,3,"04/12/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
4,4,"04/12/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
5,5,"04/12/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
6,6,"04/12/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
7,7,"04/13/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
8,8,"04/13/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
9,9,"04/13/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
10,10,"04/13/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
11,11,"04/13/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
12,12,"04/13/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
13,13,"04/13/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
14,14,"04/13/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
15,15,"04/13/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
16,16,"04/13/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
17,17,"04/14/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
18,18,"04/14/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
19,19,"04/14/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
20,20,"04/14/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"4/2023",0,2023
