IdValeSalida,IdProducto,PrecioCosto,Pventa,Cantidad,Saldo,idvalearea
269,16,100,250,1,,5
270,4,183,450,1,,6
270,4,183,450,1,,6
270,4,183,450,1,,6
270,4,183,450,1,,6
271,11,135,400,1,,1
272,21,140,350,1,,1
273,16,100,250,1,,3
274,16,100,250,1,,1
274,16,100,250,1,,1
275,1,200,0,1,,1
276,1,200,0,1,,1
277,16,100,250,1,,6
278,16,100,250,1,,3
279,16,100,250,1,,1
280,16,100,250,1,,3
281,11,135,400,1,,2
282,11,135,400,1,,4
283,16,100,250,1,,1
284,16,100,250,1,,2
285,16,100,250,1,,2
286,16,100,250,1,,3
287,21,140,350,1,,1
288,18,170,400,1,,1
289,16,100,250,1,,1
290,18,170,400,1,,1
291,16,100,250,1,,3
292,16,100,250,1,,6
293,1,200,0,1,,1
293,1,200,0,1,,1
293,1,200,0,1,,1
293,1,200,0,1,,1
293,1,200,0,1,,1
294,16,100,250,1,,2
295,21,140,350,1,,1
296,16,100,250,1,,1
297,16,100,250,1,,1
298,16,100,250,1,,1
299,16,100,0,1,,1
300,18,170,400,1,,1
301,21,140,350,1,,1
302,4,183,450,1,,1
303,4,183,450,1,,1
304,21,140,350,1,,1
305,4,183,0,1,,1
306,18,170,400,1,,1
306,18,170,400,1,,1
307,16,100,250,1,,3
308,16,100,250,1,,6
308,16,100,250,1,,6
309,21,140,350,1,,3
310,16,100,250,1,,1
311,16,100,0,1,,1
312,14,100,250,1,,5
313,4,183,450,1,,4
314,8,80,300,1,,1
315,16,100,250,1,,1
315,8,80,300,1,,1
316,16,100,250,1,,1
317,4,183,450,1,,1
317,16,100,250,1,,1
317,11,135,400,1,,1
318,16,100,250,1,,1
319,21,140,350,1,,1
319,1,200,400,1,,1
320,14,100,250,1,,1
321,21,140,350,1,,1
322,16,100,250,1,,1
322,14,100,250,1,,1
322,8,80,300,1,,1
323,16,100,250,1,,1
324,17,580,1200,1,,1
325,4,183,0,1,,5
325,13,135,0,1,,5
326,18,170,400,1,,3
327,18,170,400,1,,3
328,16,100,250,1,,1
329,16,100,250,1,,3
330,16,100,250,1,,4
331,16,100,250,1,,1
332,4,183,450,1,,1
332,4,183,450,1,,1
332,4,183,450,1,,1
333,16,100,0,1,,1
334,1,200,400,1,,1
335,16,100,250,1,,1
336,16,100,250,1,,1
337,16,100,250,1,,1
338,16,100,250,1,,1
339,16,100,250,1,,1
340,16,100,250,1,,1
341,14,100,250,1,,1
342,16,100,250,1,,1
343,16,100,250,1,,1
344,1,200,400,1,,1
345,16,100,250,1,,1
346,11,135,400,1,,1
346,11,135,400,1,,1
347,1,200,400,1,,1
348,16,100,250,1,,3
348,11,135,400,1,,3
348,11,135,400,1,,3
349,16,100,250,1,,1
350,17,580,1200,1,,2
351,11,135,400,1,,1
352,11,135,400,1,,1
353,16,100,250,1,,1
354,4,183,450,1,,1
354,17,580,1200,1,,1
354,17,580,1200,1,,1
355,1,200,400,1,,1
356,1,200,400,1,,6
357,4,183,450,1,,3
357,4,183,450,1,,3
358,1,200,400,1,,1
359,16,100,250,1,,5
360,11,135,400,1,,1
361,16,100,250,1,,4
361,8,80,300,1,,4
362,1,200,400,1,,2
363,11,135,400,1,,1
364,16,100,250,1,,1
365,16,100,250,1,,1
366,11,135,400,1,,1
367,16,100,250,1,,1
368,16,100,250,1,,2
369,8,80,300,1,,2
369,16,100,250,1,,2
370,14,100,250,1,,1
371,1,200,400,1,,1
372,16,100,250,1,,1
373,8,80,300,1,,5
373,8,80,300,1,,5
374,11,135,400,1,,1
375,16,100,250,1,,5
376,16,100,250,1,,3
377,16,100,250,1,,1
378,16,100,250,1,,1
379,1,200,400,1,,1
380,16,100,250,1,,1
381,16,100,250,1,,1
382,16,100,250,1,,1
383,16,100,250,1,,1
384,16,100,250,1,,1
385,11,135,400,1,,1
385,11,135,400,1,,1
386,16,100,250,1,,3
387,16,100,250,1,,1
388,4,183,450,1,,1
389,1,200,400,1,,1
389,16,100,250,1,,1
390,16,100,250,1,,1
391,16,100,250,1,,1
392,16,100,250,1,,1
393,16,100,250,1,,1
394,8,80,300,1,,1
394,8,80,300,1,,1
395,8,80,300,1,,1
396,16,100,250,1,,5
397,1,200,400,1,,1
398,8,80,300,1,,1
398,1,200,400,1,,1
399,16,100,250,1,,1
399,8,80,300,1,,1
400,16,100,250,1,,1
401,1,200,0,1,,1
401,13,135,0,1,,1
401,4,183,0,1,,1
402,8,80,300,1,,1
403,16,100,250,1,,1
404,16,100,250,1,,1
405,4,183,450,1,,1
405,1,200,400,1,,1
406,8,80,300,1,,1
407,11,135,400,1,,1
407,11,135,400,1,,1
408,16,100,250,1,,1
409,16,100,250,1,,1
410,16,100,250,1,,1
411,16,100,250,1,,1
412,11,135,400,1,,2
413,8,80,300,1,,1
414,4,183,450,1,,2
414,4,183,450,1,,2
414,16,100,250,1,,2
414,16,100,250,1,,2
414,4,183,450,1,,2
415,4,183,450,1,,1
416,11,135,400,1,,1
416,11,135,400,1,,1
418,16,100,250,1,,1
418,16,100,250,1,,1
418,8,80,300,1,,1
418,4,183,450,1,,1
418,4,183,450,1,,1
419,26,200,0,1,,1
419,1,200,0,1,,1
420,11,135,0,1,,1
421,16,100,250,1,,1
421,16,100,250,1,,1
421,8,80,300,1,,1
421,8,80,300,1,,1
421,8,80,300,1,,1
422,11,135,400,1,,1
423,8,80,300,1,,1
424,26,200,450,1,,1
424,26,200,450,1,,1
425,17,580,1200,1,,1
425,17,580,1200,1,,1
425,17,580,1200,1,,1
426,16,100,250,1,,2
427,1,200,400,1,,5
428,16,100,250,1,,1
429,16,100,250,1,,2
430,16,100,250,1,,1
431,16,100,250,1,,1
432,14,100,250,1,,1
433,8,80,300,1,,1
434,16,100,250,1,,1
435,14,100,250,1,,1
435,14,100,250,1,,1
436,26,200,450,1,,1
436,26,200,450,1,,1
436,26,200,450,1,,1
436,26,200,450,1,,1
437,16,100,250,1,,1
438,8,80,300,1,,1
439,8,80,300,1,,1
440,16,100,250,1,,1
440,11,135,400,1,,1
441,26,200,0,1,,1
441,27,180,0,1,,1
442,1,200,0,1,,1
442,27,180,0,1,,1
443,16,100,250,1,,1
444,8,80,300,1,,1
444,8,80,300,1,,1
445,26,200,450,1,,1
445,26,200,450,1,,1
445,26,200,450,1,,1
446,16,100,250,1,,1
447,16,100,250,1,,3
448,16,100,250,1,,1
449,26,200,450,1,,1
450,16,100,0,1,,1
450,1,200,0,1,,1
451,26,200,450,1,,1
452,1,200,400,1,,1
453,1,200,400,1,,1
