idproducto,Producto,Referencia,Pcosto,Pventa,Foto,UM,RutaImagen,Elaborado
1,"Pepsi","Refresco",0,1000,,11,"openFileDialog1",1
2,"Malta Bucanero","Malta",0,1050,,11,"openFileDialog1",0
4,"Cerveza Cristal Botella","Cerveza Nacional",0,1500,,13,"openFileDialog1",0
9,"Agua Purificada Nativa","APN",0,500,,12,"openFileDialog1",1
10,"Seven Up","RSUP",0,650,,11,"openFileDialog1",0
11,"Malta Morena","MM",0,700,,11,"openFileDialog1",0
13,"Cerveza Matz","CM",0,750,,11,"openFileDialog1",0
14,"Café expreso","CE",0,1050,,12,"openFileDialog1",1
15,"Pepsi","Refresco",150,250,,,,0
16,"Agua Ciego Montero","ACM",0,700,,1,"openFileDialog1",0
17,"Mini espumoso P Chenet","EPC",0,1200,,13,"openFileDialog1",0
18,"Malta Hollandia","MH",0,700,,11,"openFileDialog1",1
19,"Cerveza Mahou","cm",0,750,,11,"openFileDialog1",1
20,"Cerveza Cristal","Cerveza Nacional",200,450,,,,0
21,"Refresco de Limón Ciego Montero","RL",0,450,,11,"openFileDialog1",0
22,"Agua Ciego Montero","ACM",85,250,,,,0
23,"Malta Morena","MM",170,400,,,,0
25,"Agua Ciego Montero","ACM",80,250,,,,0
26,"cerveza cristal Extra","extra",0,750,,1,"openFileDialog1",0
27,"cerveza Staaberg","cerveza",0,750,,1,"openFileDialog1",0
28,"cerveza bavaria","bavaria",0,750,,1,"openFileDialog1",0
29,"Cerveza Cristal","Cerveza Nacional",220,450,,,,0
30,"Pepsi","Refresco",190,400,,,,0
31,"Seven Up","RSUP",190,400,,,,0
32,"Refresco Naranja Lata","RN",0,450,,11,"openFileDialog1",0
33,"Malta Bucanero","Malta Bucanero",250,500,,,,0
34,"Spirit Vodka con Naranja","SVN",0,600,,13,"openFileDialog1",0
35,"Agua Ciego Montero","ACM",150,350,,,,0
36,"Refresco Coca Cola ","RCCL",0,800,,11,"openFileDialog1",0
37,"Refresco Sprite","RSPT",0,800,,11,"openFileDialog1",0
38,"Refresco Fanta","RFT",0,800,,11,"openFileDialog1",0
40,"Copa Vino Blanco","CVB",0,800,,11,"openFileDialog1",0
41,"Copa Vino Tinto","CVT",0,800,,11,"openFileDialog1",0
42,"AGUA NATURAL MEXICO","AGM",0,500,,13,"openFileDialog1",0
43,"Malta HYPER","MLH",0,850,,11,"openFileDialog1",0
44,"Refresco TuKola","rtkl",0,600,,11,"openFileDialog1",0
46,"Vino espumoso","VE",7000,14000,,,,0
47,"Botella Vino Blanco","BVB",0,9000,,13,"openFileDialog1",0
48,"Té","TE",0,850,,1,"openFileDialog1",1
49,"Cerveza Cristal","Cerveza Nacional",250,500,,,,0
50,"Agua natural Niágara","ANi",0,700,,13,"openFileDialog1",0
51,"Malta Cara","MC",0,700,,11,"openFileDialog1",0
52,"Croissant Natural","CRN",0,1150,,1,"openFileDialog1",1
53,"Croissant Queso","CRQ",0,1800,,1,"openFileDialog1",0
55,"Croissant Jamón y Queso","CRJQ",0,2150,,1,"openFileDialog1",0
57,"Bocatta QUESO","BTQ",0,880,,1,"openFileDialog1",1
58,"Bocatta JAMON y QUESO","BTJQ",0,1000,,1,"openFileDialog1",1
59,"Bocatta JAMON","BTJ",0,920,,1,"openFileDialog1",1
60,"Croissant de Jamón","CRJ",0,1000,,1,"openFileDialog1",1
61,"Dona Chocolate","DNCH",0,750,,1,"openFileDialog1",1
62,"Dona Caramelo","DNCL",0,750,,1,"openFileDialog1",1
63,"Croissant Natural","CRN",206,800,,,,0
64,"Frapucchino","FRCH",0,1650,,1,"openFileDialog1",1
65,"Café Bombón","CFBM",0,1400,,1,"openFileDialog1",1
66,"Cerveza Sol","CVS",0,750,,13,"openFileDialog1",0
67,"Croissant Nutella","CRNTlla",0,1650,,1,"openFileDialog1",0
68,"Croissant Nutella","CRNTlla",284.125,880,,,,0
69,"Malta Kara","MalK",0,700,,11,"openFileDialog1",0
70,"SevenUp","7up",0,650,,11,"openFileDialog1",0
71,"Cerveza Nacional","CVZN",0,750,,11,"openFileDialog1",0
72,"Cerveza Importada","CVZIM",0,750,,11,"openFileDialog1",0
73,"Malta","MLTA",0,700,,11,"openFileDialog1",0
75,"Agua Gaseada","AGSD",400,800,,,,0
76,"Vaso desechable","VD",0,50,,1,"openFileDialog1",0
77,"Bolsa de cartucho","BCT",0,100,,1,"openFileDialog1",0
78,"Jugo natural","JN",0,850,,1,"openFileDialog1",0
79,"Agua Ciego Montero","ACM",150,600,,,,0
80,"Bizcocho de banana","BB",0,600,,1,"openFileDialog1",1
81,"Muffin de limón","MFL",0,600,,1,"openFileDialog1",1
82,"Surtido Especialidades Mini","SEM",0,700,,1,"openFileDialog1",0
83,"Pañuelo Frankfurt","PÑF",0,950,,1,"openFileDialog1",0
84,"Cookies Colores","CKS",0,950,,1,"openFileDialog1",0
85,"Xuxo Crema","CCD",0,700,,1,"openFileDialog1",0
86,"Triángulo de queso","TrQue",0,700,,1,"openFileDialog1",0
87,"Empanadilla criolla argentina","EmpArg",0,950,,1,"openFileDialog1",0
88,"Napolitana Bombón","NapBom",0,700,,1,"openFileDialog1",0
89,"Pañuelo carbonara","PañCarb",0,950,,1,"openFileDialog1",0
90,"Muffin Fusion","MufFus",0,950,,1,"openFileDialog1",0
91,"Delicias Variadas","DV",0,180,,1,"openFileDialog1",1
92,"Jugo de Piña","JP",0,850,,1,"openFileDialog1",1
94,"Jugo de Frutabomba","JFT",0,850,,1,"openFileDialog1",1
95,"Jugo de Mango","JM",0,850,,1,"openFileDialog1",0
96,"Jugo de Piña","JP",533,600,,,,0
97,"Pepsi","Refresco",178,750,,,,0
98,"Cerveza Cristal","Cerveza Nacional",190,750,,,,0
99,"Jugo de Piña","JP",285,600,,,,0
100,"Agua Ciego Montero","ACM",150,600,,,,0
101,"Jugo de Piña","JP",0,600,,,,0
102,"Jugo de Mango","JM",0,600,,,,0
103,"Jugo de Melón","JM",0,600,,,,0
104,"Frapucchino","FRCH",0,1150,,,,0
